chain_id,branch_id,date,label,day_in_chain
1,1,1980-02-22,16,1
1,1,1980-02-23,10,2
2,1,1980-02-26,20,1
3,1,1980-02-27,20,1
4,1,1980-02-29,6,1
4,1,1980-03-01,4,2
4,1,1980-03-02,8,3
4,1,1980-03-03,24,4
4,1,1980-03-04,16,5
5,1,1980-12-25,34,1
5,1,1980-12-26,29,2
5,1,1980-12-27,34,3
6,1,1980-12-27,16,1
6,1,1980-12-28,5,2
6,1,1980-12-29,7,3
7,1,1981-01-02,1,1
7,1,1981-01-03,25,2
7,1,1981-01-04,7,3
7,1,1981-01-05,9,4
7,1,1981-01-06,12,5
8,1,1981-01-08,2,1
8,1,1981-01-09,19,2
8,1,1981-01-10,3,3
8,1,1981-01-11,1,4
8,1,1981-01-12,3,5
8,1,1981-01-13,2,6
8,1,1981-01-14,8,7
9,2,1982-01-07,1,1
9,2,1982-01-08,1,2
9,2,1982-01-09,5,3
9,3,1982-01-07,1,1
9,3,1982-01-08,1,2
9,3,1982-01-09,1,3
9,3,1982-01-10,15,4
9,3,1982-01-11,9,5
9,3,1982-01-12,46,6
9,3,1982-01-13,41,7
9,6,1982-01-07,1,1
9,6,1982-01-08,1,2
9,6,1982-01-09,1,3
9,6,1982-01-10,15,4
9,6,1982-01-11,9,5
9,6,1982-01-12,46,6
9,6,1982-01-13,45,7
9,6,1982-01-14,67,8
9,6,1982-01-15,9,9
9,6,1982-01-16,11,10
9,6,1982-01-17,19,11
9,6,1982-01-18,1,12
9,6,1982-01-19,2,13
9,6,1982-01-20,1,14
9,6,1982-01-21,1,15
9,6,1982-01-22,2,16
9,6,1982-01-23,7,17
9,6,1982-01-24,44,18
9,8,1982-01-07,1,1
9,8,1982-01-08,1,2
9,8,1982-01-09,1,3
9,8,1982-01-10,15,4
9,8,1982-01-11,9,5
9,8,1982-01-12,46,6
9,8,1982-01-13,45,7
9,8,1982-01-14,67,8
9,8,1982-01-15,72,9
9,8,1982-01-16,11,10
9,8,1982-01-17,19,11
9,8,1982-01-18,1,12
9,8,1982-01-19,2,13
9,8,1982-01-20,1,14
9,8,1982-01-21,1,15
9,8,1982-01-22,2,16
9,8,1982-01-23,7,17
9,8,1982-01-24,44,18
9,10,1982-01-07,1,1
9,10,1982-01-08,1,2
9,10,1982-01-09,1,3
9,10,1982-01-10,15,4
9,10,1982-01-11,9,5
9,10,1982-01-12,46,6
9,10,1982-01-13,45,7
9,10,1982-01-14,67,8
9,10,1982-01-15,9,9
9,10,1982-01-16,11,10
9,10,1982-01-17,19,11
9,10,1982-01-18,1,12
9,10,1982-01-19,2,13
9,10,1982-01-20,1,14
9,10,1982-01-21,1,15
9,10,1982-01-22,2,16
9,10,1982-01-23,7,17
9,10,1982-01-24,23,18
9,10,1982-01-25,11,19
9,11,1982-01-07,1,1
9,11,1982-01-08,1,2
9,11,1982-01-09,1,3
9,11,1982-01-10,15,4
9,11,1982-01-11,9,5
9,11,1982-01-12,46,6
9,11,1982-01-13,45,7
9,11,1982-01-14,67,8
9,11,1982-01-15,9,9
9,11,1982-01-16,11,10
9,11,1982-01-17,19,11
9,11,1982-01-18,1,12
9,11,1982-01-19,2,13
9,11,1982-01-20,1,14
9,11,1982-01-21,1,15
9,11,1982-01-22,2,16
9,11,1982-01-23,7,17
9,11,1982-01-24,23,18
9,11,1982-01-25,28,19
9,12,1982-01-07,1,1
9,12,1982-01-08,1,2
9,12,1982-01-09,1,3
9,12,1982-01-10,15,4
9,12,1982-01-11,9,5
9,12,1982-01-12,46,6
9,12,1982-01-13,45,7
9,12,1982-01-14,67,8
9,12,1982-01-15,72,9
9,12,1982-01-16,11,10
9,12,1982-01-17,19,11
9,12,1982-01-18,1,12
9,12,1982-01-19,2,13
9,12,1982-01-20,1,14
9,12,1982-01-21,1,15
9,12,1982-01-22,2,16
9,12,1982-01-23,7,17
9,12,1982-01-24,23,18
9,12,1982-01-25,11,19
9,13,1982-01-07,1,1
9,13,1982-01-08,1,2
9,13,1982-01-09,1,3
9,13,1982-01-10,15,4
9,13,1982-01-11,9,5
9,13,1982-01-12,46,6
9,13,1982-01-13,45,7
9,13,1982-01-14,67,8
9,13,1982-01-15,72,9
9,13,1982-01-16,11,10
9,13,1982-01-17,19,11
9,13,1982-01-18,1,12
9,13,1982-01-19,2,13
9,13,1982-01-20,1,14
9,13,1982-01-21,1,15
9,13,1982-01-22,2,16
9,13,1982-01-23,7,17
9,13,1982-01-24,23,18
9,13,1982-01-25,28,19
9,10,1982-01-26,1,20
9,12,1982-01-26,1,20
9,11,1982-01-26,19,20
9,13,1982-01-26,19,20
9,10,1982-01-27,1,21
9,12,1982-01-27,1,21
9,11,1982-01-27,18,21
9,13,1982-01-27,18,21
10,1,1983-01-09,3,1
11,1,1983-01-09,15,1
10,1,1983-01-10,2,2
11,1,1983-01-10,4,2
10,1,1983-01-11,2,3
11,1,1983-01-11,4,3
10,1,1983-01-12,2,4
11,1,1983-01-12,4,4
12,1,1983-01-13,44,1
13,1,1983-01-14,2,1
14,1,1983-01-14,11,1
14,1,1983-01-15,8,2
14,1,1983-01-16,6,3
14,1,1983-01-17,2,4
14,1,1983-01-18,4,5
15,1,1983-01-19,26,1
15,1,1983-01-20,15,2
15,1,1983-01-21,30,3
15,1,1983-01-22,14,4
16,1,1983-01-22,2,1
16,1,1983-01-23,2,2
16,1,1983-01-24,1,3
17,1,1983-01-24,10,1
16,1,1983-01-25,5,4
17,1,1983-01-25,15,2
16,1,1983-01-26,2,5
17,1,1983-01-26,19,3
16,1,1983-01-27,4,6
16,1,1983-01-28,7,7
16,1,1983-01-29,2,8
18,1,1984-01-11,1,1
18,1,1984-01-12,1,2
18,1,1984-01-13,1,3
18,1,1984-01-14,2,4
18,1,1984-01-15,3,5
18,1,1984-01-16,2,6
18,2,1984-01-11,1,1
18,2,1984-01-12,1,2
18,2,1984-01-13,1,3
18,2,1984-01-14,2,4
18,2,1984-01-15,3,5
18,2,1984-01-16,34,6
18,2,1984-01-17,20,7
18,2,1984-01-18,7,8
18,2,1984-01-19,20,9
19,1,1984-01-19,4,1
18,2,1984-01-20,1,10
19,1,1984-01-20,1,2
18,2,1984-01-21,5,11
19,1,1984-01-21,5,3
18,2,1984-01-22,5,12
19,1,1984-01-22,5,4
18,2,1984-01-23,6,13
19,1,1984-01-23,6,5
18,2,1984-01-24,5,14
19,1,1984-01-24,5,6
20,1,1984-01-24,13,1
18,2,1984-01-25,3,15
19,1,1984-01-25,3,7
20,1,1984-01-25,12,2
20,1,1984-01-26,4,3
21,1,1984-01-29,27,1
21,1,1984-01-30,16,2
21,1,1984-01-31,6,3
22,1,1985-01-11,5,1
22,1,1985-01-12,15,2
22,1,1985-01-13,27,3
22,1,1985-01-14,68,4
23,1,1985-01-16,18,1
23,1,1985-01-17,19,2
24,1,1985-01-18,6,1
24,1,1985-01-19,8,2
24,1,1985-01-20,8,3
24,1,1985-01-21,7,4
24,1,1985-01-22,12,5
24,1,1985-01-23,19,6
25,1,1985-01-26,7,1
25,1,1985-01-27,20,2
26,1,1985-01-29,3,1
26,1,1985-01-30,10,2
26,1,1985-01-31,14,3
27,1,1986-01-06,8,1
27,1,1986-01-07,10,2
27,1,1986-01-08,12,3
27,1,1986-01-09,20,4
28,1,1986-01-12,11,1
29,1,1986-01-14,7,1
29,1,1986-01-15,1,2
29,1,1986-01-16,2,3
30,1,1986-01-22,1,1
31,1,1986-01-24,17,1
31,1,1986-01-25,15,2
32,1,1987-02-05,4,1
32,1,1987-02-06,2,2
33,1,1987-02-09,1,1
34,1,1987-02-09,20,1
33,1,1987-02-10,2,2
34,1,1987-02-10,22,2
35,1,1987-02-12,31,1
36,1,1987-02-14,11,1
36,1,1987-02-15,11,2
37,1,1987-02-15,1,1
36,1,1987-02-16,4,3
38,1,1987-02-21,1,1
39,1,1988-01-04,3,1
39,1,1988-01-05,3,2
39,1,1988-01-06,4,3
39,1,1988-01-07,19,4
39,1,1988-01-08,30,5
39,1,1988-01-09,22,6
39,1,1988-01-10,19,7
39,1,1988-01-11,50,8
40,1,1988-01-13,6,1
40,1,1988-01-14,4,2
40,1,1988-01-15,9,3
40,1,1988-01-16,2,4
41,1,1988-01-19,36,1
41,1,1988-01-20,45,2
41,1,1988-01-21,33,3
41,1,1988-01-22,63,4
41,1,1988-01-23,43,5
42,1,1988-12-11,3,1
42,1,1988-12-12,8,2
42,1,1988-12-13,19,3
43,1,1988-12-18,39,1
44,1,1989-12-12,47,1
44,1,1989-12-13,25,2
44,1,1989-12-14,1,3
44,1,1989-12-15,1,4
44,1,1989-12-16,2,5
44,1,1989-12-17,30,6
44,1,1989-12-18,11,7
44,1,1989-12-19,6,8
44,1,1989-12-20,5,9
44,1,1989-12-21,18,10
44,1,1989-12-22,11,11
44,1,1989-12-23,13,12
44,1,1989-12-24,14,13
44,1,1989-12-25,6,14
45,1,1989-12-27,10,1
45,1,1989-12-28,8,2
45,1,1989-12-29,12,3
45,1,1989-12-30,11,4
46,1,1991-01-12,28,1
47,1,1991-01-16,1,1
48,1,1991-01-20,4,1
48,1,1991-01-21,4,2
48,1,1991-01-22,6,3
48,1,1991-01-23,3,4
48,1,1991-01-24,8,5
48,1,1991-01-25,9,6
48,1,1991-01-26,5,7
48,1,1991-01-27,8,8
48,1,1991-01-28,11,9
48,1,1991-01-29,10,10
49,1,1991-01-29,26,1
48,1,1991-01-30,3,11
49,1,1991-01-30,46,2
48,1,1991-01-31,3,12
48,1,1991-02-01,5,13
50,1,1992-01-14,4,1
50,1,1992-01-15,5,2
50,1,1992-01-16,8,3
50,1,1992-01-17,9,4
51,1,1992-01-18,11,1
51,1,1992-01-19,4,2
51,1,1992-01-20,9,3
51,1,1992-01-21,5,4
51,1,1992-01-22,11,5
51,1,1992-01-23,13,6
52,1,1992-01-25,29,1
