,chain_id,branch_id,date,label,day_in_chain
0,1,1,1980-02-22,16,1
1,1,1,1980-02-23,10,2
2,2,1,1980-02-26,20,1
3,3,1,1980-02-27,20,1
4,4,1,1980-02-29,6,1
5,4,1,1980-03-01,4,2
6,4,1,1980-03-02,8,3
7,4,1,1980-03-03,24,4
8,4,1,1980-03-04,16,5
9,5,1,1980-12-25,34,1
10,5,1,1980-12-26,29,2
11,5,1,1980-12-27,34,3
12,6,1,1980-12-27,16,1
13,6,1,1980-12-28,5,2
14,6,1,1980-12-29,7,3
15,7,1,1981-01-02,1,1
16,7,1,1981-01-03,25,2
17,7,1,1981-01-04,7,3
18,7,1,1981-01-05,9,4
19,7,1,1981-01-06,12,5
20,8,1,1981-01-08,2,1
21,8,1,1981-01-09,19,2
22,8,1,1981-01-10,3,3
23,8,1,1981-01-11,1,4
24,8,1,1981-01-12,3,5
25,8,1,1981-01-13,2,6
26,8,1,1981-01-14,8,7
27,9,2,1982-01-07,1,1
28,9,2,1982-01-08,1,2
29,9,2,1982-01-09,5,3
30,9,3,1982-01-07,1,1
31,9,3,1982-01-08,1,2
32,9,3,1982-01-09,1,3
33,9,3,1982-01-10,15,4
34,9,3,1982-01-11,9,5
35,9,3,1982-01-12,46,6
36,9,3,1982-01-13,41,7
37,9,6,1982-01-07,1,1
38,9,6,1982-01-08,1,2
39,9,6,1982-01-09,1,3
40,9,6,1982-01-10,15,4
41,9,6,1982-01-11,9,5
42,9,6,1982-01-12,46,6
43,9,6,1982-01-13,45,7
44,9,6,1982-01-14,67,8
45,9,6,1982-01-15,9,9
46,9,6,1982-01-16,11,10
47,9,6,1982-01-17,19,11
48,9,6,1982-01-18,1,12
49,9,6,1982-01-19,2,13
50,9,6,1982-01-20,1,14
51,9,6,1982-01-21,1,15
52,9,6,1982-01-22,2,16
53,9,6,1982-01-23,7,17
54,9,6,1982-01-24,44,18
55,9,8,1982-01-07,1,1
56,9,8,1982-01-08,1,2
57,9,8,1982-01-09,1,3
58,9,8,1982-01-10,15,4
59,9,8,1982-01-11,9,5
60,9,8,1982-01-12,46,6
61,9,8,1982-01-13,45,7
62,9,8,1982-01-14,67,8
63,9,8,1982-01-15,72,9
64,9,8,1982-01-16,11,10
65,9,8,1982-01-17,19,11
66,9,8,1982-01-18,1,12
67,9,8,1982-01-19,2,13
68,9,8,1982-01-20,1,14
69,9,8,1982-01-21,1,15
70,9,8,1982-01-22,2,16
71,9,8,1982-01-23,7,17
72,9,8,1982-01-24,44,18
73,9,10,1982-01-07,1,1
74,9,10,1982-01-08,1,2
75,9,10,1982-01-09,1,3
76,9,10,1982-01-10,15,4
77,9,10,1982-01-11,9,5
78,9,10,1982-01-12,46,6
79,9,10,1982-01-13,45,7
80,9,10,1982-01-14,67,8
81,9,10,1982-01-15,9,9
82,9,10,1982-01-16,11,10
83,9,10,1982-01-17,19,11
84,9,10,1982-01-18,1,12
85,9,10,1982-01-19,2,13
86,9,10,1982-01-20,1,14
87,9,10,1982-01-21,1,15
88,9,10,1982-01-22,2,16
89,9,10,1982-01-23,7,17
90,9,10,1982-01-24,23,18
91,9,10,1982-01-25,11,19
92,9,11,1982-01-07,1,1
93,9,11,1982-01-08,1,2
94,9,11,1982-01-09,1,3
95,9,11,1982-01-10,15,4
96,9,11,1982-01-11,9,5
97,9,11,1982-01-12,46,6
98,9,11,1982-01-13,45,7
99,9,11,1982-01-14,67,8
100,9,11,1982-01-15,9,9
101,9,11,1982-01-16,11,10
102,9,11,1982-01-17,19,11
103,9,11,1982-01-18,1,12
104,9,11,1982-01-19,2,13
105,9,11,1982-01-20,1,14
106,9,11,1982-01-21,1,15
107,9,11,1982-01-22,2,16
108,9,11,1982-01-23,7,17
109,9,11,1982-01-24,23,18
110,9,11,1982-01-25,28,19
111,9,12,1982-01-07,1,1
112,9,12,1982-01-08,1,2
113,9,12,1982-01-09,1,3
114,9,12,1982-01-10,15,4
115,9,12,1982-01-11,9,5
116,9,12,1982-01-12,46,6
117,9,12,1982-01-13,45,7
118,9,12,1982-01-14,67,8
119,9,12,1982-01-15,72,9
120,9,12,1982-01-16,11,10
121,9,12,1982-01-17,19,11
122,9,12,1982-01-18,1,12
123,9,12,1982-01-19,2,13
