chain_id,start_date,end_date,duration_days,max_area_km2,mean_area_km2,total_area_km2,min_temperature,mean_min_temperature,mean_temperature,max_lat,min_lat,max_lon,min_lon,total_clusters,max_clusters_per_day,mean_clusters_per_day,max_cluster_area_day,coldest_temp_day
1,1940-01-01,1940-01-03,3,1512925.413010947,1298515.668418798,3895547.005256394,-3.402979,-3.1869118,-2.1324913177548126,127,126,244,231,3,1,1.0,1940-01-02,1940-01-02
2,1940-01-05,1940-01-08,4,1905841.7438166807,1366427.8099022906,5465711.239609162,-3.8294733,-3.5850554,-2.1471758775847407,128,123,242,193,4,1,1.0,1940-01-06,1940-01-06
3,1940-01-13,1940-01-29,17,6760252.357329954,4245533.198898598,72174064.38127616,-4.7164483,-4.028594,-2.149968547310702,146,87,271,134,17,1,1.0,1940-01-19,1940-01-15
4,1940-01-31,1940-01-31,1,517533.4689590357,517533.4689590357,517533.4689590357,-2.934499,-2.934499,-1.9464762257330073,148,148,251,251,1,1,1.0,1940-01-31,1940-01-31
5,1940-02-03,1940-02-03,1,2172458.1774383504,2172458.1774383504,2172458.1774383504,-3.8987322,-3.8987322,-2.0472519979127957,134,134,281,281,1,1,1.0,1940-02-03,1940-02-03
6,1940-02-05,1940-02-13,9,1980539.3624905245,932039.2522580596,11184471.027096715,-3.6799893,-2.7907736,-1.8788076743753133,167,9,428,134,12,2,1.3333333333333333,1940-02-06,1940-02-10
7,1940-02-20,1940-02-21,2,1192672.2932631676,1069419.8304582303,2138839.6609164607,-3.5874746,-3.2614799,-2.016388451087182,116,114,148,138,2,1,1.0,1940-02-21,1940-02-20
8,1940-02-23,1940-02-27,5,1294734.139114158,757166.7320595492,4543000.392357295,-3.3282638,-2.6462104,-1.8564837351837855,131,55,405,73,6,2,1.2,1940-02-25,1940-02-26
9,1940-11-11,1940-11-13,3,936504.8796422896,702104.7006516452,2106314.1019549356,-4.2802067,-3.7480628,-2.0169842765618937,105,74,159,123,3,1,1.0,1940-11-13,1940-11-13
10,1940-12-13,1940-12-16,4,1663857.691224597,1330813.0097043456,5323252.038817382,-4.4840183,-3.8560228,-2.171870640423051,119,104,163,154,4,1,1.0,1940-12-15,1940-12-13
11,1940-12-20,1940-12-20,1,648436.0224252039,648436.0224252039,648436.0224252039,-2.760316,-2.760316,-1.7822443110181752,111,111,417,417,1,1,1.0,1940-12-20,1940-12-20
12,1941-01-01,1941-01-03,3,1167935.109698603,877399.9993451064,2632199.998035319,-3.4986656,-3.28749,-1.9876617916800825,112,103,143,132,3,1,1.0,1941-01-03,1941-01-02
13,1941-01-05,1941-01-05,1,632943.9694292834,583682.8453324044,1167365.6906648087,-3.1304846,-2.842496,-1.8770185003163702,133,84,272,147,2,2,2.0,1941-01-05,1941-01-05
14,1941-01-14,1941-01-19,6,1452861.2006931342,947696.6524585331,6633876.567209732,-3.8264275,-2.968488,-1.904224309530567,152,68,408,153,7,2,1.1666666666666667,1941-01-16,1941-01-17
15,1941-01-23,1941-01-28,6,2786760.438265484,1493210.4344870988,8959262.606922593,-3.0699964,-2.603919,-1.7525521621955982,108,31,356,106,6,1,1.0,1941-01-25,1941-01-28
16,1941-02-04,1941-02-04,1,922718.6146205526,922718.6146205526,922718.6146205526,-3.001277,-3.001277,-1.888498982273691,117,117,275,275,1,1,1.0,1941-02-04,1941-02-04
17,1941-02-09,1941-02-11,3,1232626.0258271398,821090.4906858737,2463271.472057621,-3.0431657,-2.5383234,-1.8093660942320386,169,59,399,246,3,1,1.0,1941-02-10,1941-02-10
18,1941-02-17,1941-02-20,4,2249132.9740146375,1279668.9125709631,5118675.650283853,-2.8834054,-2.5613832,-1.7757712046413907,113,23,253,186,4,1,1.0,1941-02-19,1941-02-19
19,1941-03-01,1941-03-01,1,766397.8831708804,766397.8831708804,766397.8831708804,-2.7949393,-2.7949393,-2.061784228157776,147,147,298,298,1,1,1.0,1941-03-01,1941-03-01
20,1941-03-13,1941-03-15,3,808468.1612589704,727552.6940857213,2182658.0822571637,-2.3255506,-2.2919364,-1.768385472137454,123,56,385,355,3,1,1.0,1941-03-13,1941-03-15
21,1941-03-17,1941-03-19,3,2123160.9844897254,1187640.2357533698,3562920.7072601095,-2.7184112,-2.5343218,-1.779708073822644,123,109,331,251,3,1,1.0,1941-03-18,1941-03-17
22,1941-11-27,1941-11-29,3,1162938.4677239696,984449.2944629253,2953347.883388776,-3.3381615,-3.0444353,-1.9945856799002613,26,24,46,28,3,1,1.0,1941-11-28,1941-11-27
23,1941-12-19,1941-12-22,4,1387271.884750622,1046754.9120920674,4187019.6483682697,-3.7052011,-3.2012343,-2.061895405882072,115,74,341,275,4,1,1.0,1941-12-21,1941-12-20
24,1941-12-25,1942-01-11,18,7732841.136084088,3844198.561339453,69195574.10411015,-5.4921613,-4.145398,-2.1133308072263577,137,68,272,107,18,1,1.0,1942-01-05,1942-01-03
25,1942-01-13,1942-01-13,1,703103.2754866623,648081.8205600968,1296163.6411201935,-2.1732848,-2.1415625,-1.6959178538724977,83,41,396,290,2,2,2.0,1942-01-13,1942-01-13
26,1942-01-16,1942-01-17,2,3702733.5342350868,3042720.3307729987,6085440.6615459975,-3.379397,-2.8878455,-1.810755623128189,95,85,345,324,2,1,1.0,1942-01-17,1942-01-17
27,1942-01-19,1942-01-21,3,721257.7587196312,645544.3413142097,1936633.0239426293,-3.468679,-3.3222315,-1.9783047970425052,121,119,151,145,3,1,1.0,1942-01-20,1942-01-20
28,1942-01-30,1942-01-30,1,1072583.5335724838,1072583.5335724838,1072583.5335724838,-2.5250218,-2.5250218,-1.757760932102685,118,118,326,326,1,1,1.0,1942-01-30,1942-01-30
