label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
14,1173947.8926662153,1940-01-01,126,234,-2.026448163068928,0.31232428750531316,-2.034531,-2.933522,131,223
4,1512925.413010947,1940-01-02,127,231,-2.210191711096031,0.45112868736753614,-2.1700072,-3.402979,131,223
8,1208673.6995792317,1940-01-03,126,244,-2.1608340790994784,0.3695515023089827,-2.1698685,-3.2242348,127,285
15,1400600.6082354905,1940-01-05,123,223,-2.121998669954697,0.4659841330182434,-2.021502,-3.2997174,115,207
19,1905841.7438166807,1940-01-06,128,242,-2.0124620779016698,0.49164619869543774,-1.8271978,-3.8294733,131,267
14,772243.3282098976,1940-01-07,128,193,-2.255036224232111,0.4941379954130743,-2.2176414,-3.5872686,137,191
29,1387025.5593470936,1940-01-08,128,198,-2.199206538250484,0.5425212432226872,-2.0637212,-3.6237617,127,203
21,1207379.9268871027,1940-01-13,117,134,-2.1956619686229386,0.5344640364201756,-2.0693798,-4.315308,122,125
61,1950581.0025190453,1940-01-14,127,148,-2.273226856516275,0.5302460366298289,-2.1981645,-4.635649,122,125
33,3737869.1767250327,1940-01-15,91,137,-2.0649861964695093,0.4664911028381495,-1.9351811,-4.7164483,121,124
8,3818128.882801037,1940-01-16,87,156,-1.904958250446312,0.32349335527260303,-1.8506938,-4.40969,121,124
13,2605885.129940026,1940-01-17,91,215,-1.8049207576319908,0.24406656973613022,-1.7453663,-3.0981138,108,259
3,4852449.023571257,1940-01-18,110,198,-2.304365098031703,0.5306190826214248,-2.2520912,-3.925768,101,169
3,6760252.357329954,1940-01-19,127,201,-2.477928420269,0.5770402911211551,-2.4759443,-4.6769147,126,182
6,5761112.98052357,1940-01-20,135,222,-2.06351739079987,0.41340199215024936,-1.9699819,-3.8274426,126,190
13,4526201.866112793,1940-01-21,131,201,-2.039296585179992,0.38420304672085237,-2.011691,-3.3883498,94,133
9,4481142.332599897,1940-01-22,131,193,-2.085023363431295,0.48364413601401574,-1.9327099,-3.9121516,118,181
7,4291247.314183693,1940-01-23,126,185,-2.0211807007896723,0.3813159801645692,-1.9472703,-3.769944,138,185
5,5563324.1175856,1940-01-24,119,192,-2.1647019231698406,0.4760381045354404,-2.0636153,-3.787789,106,189
19,5707497.258395788,1940-01-25,131,217,-2.328961484667238,0.5429966387813321,-2.2682648,-4.2042212,128,186
7,5345117.089887067,1940-01-26,135,230,-2.307486125918407,0.5161304702297269,-2.2417858,-4.350514,134,268
7,5685208.978578723,1940-01-27,140,245,-2.3414652389346124,0.5530809898382307,-2.2396111,-4.1278267,141,252
5,4154866.6249998347,1940-01-28,141,265,-2.179846874868013,0.5150874062288626,-2.0568404,-3.9855137,142,259
